Province,Region,Island Group,Municipality/City,Geographic Level,Country
Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Akbar,Municipality,Philippines
Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Al-Barka,Municipality,Philippines
Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,City of Lamitan,Component_city,Philippines
Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Hadji Mohammad Ajul,Municipality,Philippines
Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Hadji Muhtamad,Municipality,Philippines
Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Lantawan,Municipality,Philippines
Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Maluso,Municipality,Philippines
Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Sumisip,Municipality,Philippines
Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Tabuan-Lasa,Municipality,Philippines
Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Tipo-Tipo,Municipality,Philippines
Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Tuburan,Municipality,Philippines
Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Ungkaya Pukan,Municipality,Philippines
Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Amai Manabilang,Municipality,Philippines
Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Bacolod-Kalawi,Municipality,Philippines
Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Balabagan,Municipality,Philippines
Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Balindong,Municipality,Philippines
Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Bayang,Municipality,Philippines
Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Binidayan,Municipality,Philippines
Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Buadiposo-Buntong,Municipality,Philippines
Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Bubong,Municipality,Philippines
Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Butig,Municipality,Philippines
Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Calanogas,Municipality,Philippines
Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,City of Marawi,Component_city,Philippines
Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Ditsaan-Ramain,Municipality,Philippines
Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Ganassi,Municipality,Philippines
Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Kapai,Municipality,Philippines
Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Kapatagan,Municipality,Philippines
Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Lumba-Bayabao,Municipality,Philippines
Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Lumbaca-Unayan,Municipality,Philippines
Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Lumbatan,Municipality,Philippines
Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Mindanao,Lumbayanague,Municipality,Philippines
